Категория;Название;Наличие
АКСЕССУАРЫ для ВЫШИВАНИЯ;Барашковый ключ для станков вышивания;Есть в наличии (6)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Бобины ""Gamma""для мулине  LB-20 пластик 20 шт ассорти на блистере";Есть в наличии (20)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Бобины для ниток «Домики» набор 10 штук (5 видов по 2) + подставка ОР-041;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Бобины для ниток «Маяки»: набор 5 видов по 2 штуки  ОР-061;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Вспомогательная планка 30 см, 0121-030 BOS;Есть в наличии (7)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Вспомогательная планка 45 см, 0121-045 BOS;Есть в наличии (4)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Держатели для пялец-рамок Золотое Руно (2 шт.) 22-68 см;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Держатель для пялец ""Elbesee"" НН12, 30 см, Helping Hand";Есть в наличии (5)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет бирюзовый мрамор;Есть в наличии (3)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет жёлтый;Есть в наличии (2)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет зелёный мрамор;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет розовый мрамор;Есть в наличии (13)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Магнитная подставка PAKO для счетного креста с линейкой;Есть в наличии (5)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Магнитная рамка для вышивания по бумажной схеме;Есть в наличии (3)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Набор пластиковых зажимов для канвы 4НПЗ;Есть в наличии (30)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер ""Gamma"" для ниток мулине OG-P30 ЭВА пластик 17.5 см в блистере на 30 цветов";Есть в наличии (29)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер ""Gamma""для ниток мулине OG-P50 ЭВА пластик 27 см в блистере на 50 цветов";Есть в наличии (38)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер для игл ""Pako"" 700.050";Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Органайзер для ниток (30 отверстий), РИОЛИС;Есть в наличии (257)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Планки для рамок универсальные 2 шт.*35 см;Есть в наличии (7)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Барашковый ключ для станков вышивания;Есть в наличии (6)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Бобины ""Gamma""для мулине  LB-20 пластик 20 шт ассорти на блистере";Есть в наличии (20)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Бобины для ниток «Домики» набор 10 штук (5 видов по 2) + подставка ОР-041;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Бобины для ниток «Маяки»: набор 5 видов по 2 штуки  ОР-061;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Вспомогательная планка 30 см, 0121-030 BOS;Есть в наличии (7)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Вспомогательная планка 45 см, 0121-045 BOS;Есть в наличии (4)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Держатели для пялец-рамок Золотое Руно (2 шт.) 22-68 см;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Держатель для пялец ""Elbesee"" НН12, 30 см, Helping Hand";Есть в наличии (5)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет бирюзовый мрамор;Есть в наличии (3)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет жёлтый;Есть в наличии (2)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет зелёный мрамор;Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Клипсы для пялец РУКОДЕЛИЕ, 4 шт., цвет розовый мрамор;Есть в наличии (13)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Магнитная подставка PAKO для счетного креста с линейкой;Есть в наличии (5)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Магнитная рамка для вышивания по бумажной схеме;Есть в наличии (3)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Набор пластиковых зажимов для канвы 4НПЗ;Есть в наличии (30)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер ""Gamma"" для ниток мулине OG-P30 ЭВА пластик 17.5 см в блистере на 30 цветов";Есть в наличии (29)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер ""Gamma""для ниток мулине OG-P50 ЭВА пластик 27 см в блистере на 50 цветов";Есть в наличии (38)
АКСЕССУАРЫ для ВЫШИВАНИЯ;"Органайзер для игл ""Pako"" 700.050";Есть в наличии (1)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Органайзер для ниток (30 отверстий), РИОЛИС;Есть в наличии (257)
АКСЕССУАРЫ для ВЫШИВАНИЯ;Планки для рамок универсальные 2 шт.*35 см;Есть в наличии (7)
